locality_code,locality_name,locality_form,population,index_value,cluster,locality_norm
528.0,עוזייר,290,3047.0,-1.679,1.0,עוזייר
539.0,רומאנה,450,1129.0,-1.566,2.0,רומאנה
997.0,רומת הייב,450,1882.0,-1.237,2.0,רומת הייב
993.0,חמאם,450,1410.0,-0.738,3.0,חמאם
1346.0,תרבין א-צאנע (יישוב)*,450,437.0,-3.103,1.0,תרבין א-צאנע *
1360.0,מולדה*,450,295.0,-2.856,1.0,מולדה*
1358.0,אום בטין,290,3080.0,-2.508,1.0,אום בטין
1359.0,אל סייד,290,3384.0,-2.288,1.0,אל סייד
1343.0,מכחול,450,395.0,-2.205,1.0,מכחול
1367.0,כחלה,450,145.0,-1.366,2.0,כחלה
1349.0,דריג'את,450,1065.0,-1.191,2.0,דריג את
360.0,"גבעת ניל""י",310,733.0,0.859,7.0,גבעת ניל י
679.0,אביאל,310,817.0,1.226,8.0,אביאל
773.0,עמיקם,310,707.0,1.297,8.0,עמיקם
1366.0,נווה,310,1066.0,-1.617,1.0,נווה
1085.0,כרם שלום,330,119.0,-1.228,2.0,כרם שלום
1363.0,בני נצרים,310,544.0,-0.838,3.0,בני נצרים
399.0,בארי,330,984.0,-0.488,3.0,בארי
1364.0,שלומית,370,201.0,-0.465,3.0,שלומית
413.0,צאלים,330,441.0,-0.296,4.0,צאלים
403.0,אורים,330,470.0,-0.232,4.0,אורים
713.0,רעים,330,403.0,-0.002,5.0,רעים
695.0,מגן,330,551.0,0.038,5.0,מגן
676.0,עין השלושה,330,300.0,0.085,5.0,עין השלושה
69.0,ניר עוז,330,395.0,0.188,6.0,ניר עוז
840.0,כיסופים,330,235.0,0.233,6.0,כיסופים
402.0,ניר יצחק,330,628.0,0.274,6.0,ניר יצחק
1311.0,אבשלום,370,258.0,0.301,6.0,אבשלום
1239.0,חולית,330,147.0,0.354,6.0,חולית
1136.0,צוחר,350,419.0,0.496,6.0,צוחר
352.0,גבולות,330,299.0,0.681,7.0,גבולות
1231.0,פרי גן,310,226.0,0.761,7.0,פרי גן
602.0,נירים,330,357.0,0.809,7.0,נירים
1241.0,דקל,310,311.0,0.822,7.0,דקל
829.0,מבטחים,310,406.0,0.852,7.0,מבטחים
1223.0,שדי אברהם,310,341.0,0.897,7.0,שדי אברהם
1232.0,יבול,310,350.0,0.997,8.0,יבול
1046.0,אוהד,310,404.0,1.055,8.0,אוהד
1227.0,יתד,310,326.0,1.055,8.0,יתד
1238.0,סופה,330,234.0,1.091,8.0,סופה
1051.0,תלמי אליהו,310,303.0,1.15,8.0,תלמי אליהו
318.0,עמיעוז,310,196.0,1.226,8.0,עמיעוז
1240.0,עין הבשור,310,1127.0,1.306,8.0,עין הבשור
1237.0,תלמי יוסף,310,304.0,1.315,8.0,תלמי יוסף
916.0,ישע,310,368.0,1.385,8.0,ישע
1058.0,שדה ניצן,310,318.0,1.631,9.0,שדה ניצן
2006.0,כנות,340,355.0,-2.378,1.0,כנות
739.0,שדה עוזיהו,310,1465.0,-0.113,5.0,שדה עוזיהו
2011.0,ינון,310,1116.0,0.275,6.0,ינון
817.0,עזריקם,310,1377.0,0.423,6.0,עזריקם
763.0,שתולים,310,1975.0,0.431,6.0,שתולים
793.0,גבעתי,310,955.0,0.478,6.0,גבעתי
756.0,בית עזרא,310,1090.0,0.742,7.0,בית עזרא
