semel,school_name_budget,budget_year,district,authority_name,authority_code,sector,supervision,legal_status,education_stage,education_type,nurture_quintile_raw,strength_band,students_regular,students_special,classes_regular,avg_class_size,budget_total,cost_teaching,cost_tuition,cost_perimeter,cost_projects,cost_purchases,cost_transport,hours_private,nurture_quintile
110023,בית יעקב מטרסדורף,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,1024,33,31.0,33.03225806451613,10848362.864624962,0.0,0.0,908545.6300000001,181251.47999999998,80883.65462496495,-8995.6,0.0,3.0
110056,עדיהו,תשעה,ירושלים,בית שמש,26104,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,63,0,2.5,12.6,1764049.4738440015,1444953.2821999998,0.0,140416.94,-35297.16,214251.93164400166,-275.52,28.130000000000003,5.0
110064,אליקים,תשעה,ירושלים,בית שמש,26104,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,51,0,3.0,10.2,2009245.2523790095,1692049.4686,0.0,97842.42,-30155.82,249628.58377900982,-119.4,40.0,5.0
110098,השחר,תשעה,ירושלים,מטה יהודה,2600000,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,478,0,15.0,31.866666666666667,6197829.806934935,5406327.376,0.0,595250.0700000001,-232097.59,435036.79093493556,-6686.84,128.58,1.0
110106,אגרון גרשון,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,388,9,12.0,32.333333333333336,5717497.36123199,4935192.8484,0.0,727725.7799999999,26083.760000000002,23578.05283199098,-3508.28,117.02,3.0
110130,סאלד,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,256,14,11.0,23.272727272727273,5814450.763357239,5055784.3914,0.0,602504.0,-938.4599999999973,159794.43195723952,-2693.6,110.52000000000001,2.0
110155,בית הכרם,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,506,0,17.0,29.764705882352942,6825879.728125817,5803204.9176,0.0,787964.3500000001,36439.54,205674.36052581712,-7403.44,134.98,1.0
110171,גאולים א,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,282,20,10.0,28.2,7555916.724348645,5655848.6536,0.0,1007578.18,152122.42,545271.3307486459,-2474.8,127.47,3.0
110205,"מ""מ רחביה ע""ש דוד גו",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,372,13,12.0,31.0,6549798.060921349,5080093.247400001,0.0,899410.7999999998,144420.5,309042.53352135,-4632.32,105.84,2.0
110270,לוריא,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,168,20,8.0,21.0,5472321.009563227,4434476.093599999,0.0,718896.21,110440.48999999999,83266.8759632281,-1557.92,105.64000000000001,3.0
