run,seed,MICE_R2,MICE_RMSE,MICE_MAE,Median_R2,Median_RMSE,Median_MAE
0,42,0.9479882010125009,0.21122779889120052,0.1437293880028408,-0.0031878810407350855,0.9276652198585086,0.7817601351351351
1,43,0.9589672353089361,0.19218596869522883,0.1402646816427126,-0.0005260301073397589,0.9490093323238912,0.8004155405405405
2,44,0.9538743812149042,0.18667127798433095,0.1310367144748778,-0.0009912285891171546,0.8696040105330328,0.7128445945945945
3,45,0.9539540537002692,0.20576917518500865,0.1449165614121591,-0.00015431635728302417,0.9589989290640245,0.8002162162162161
4,46,0.9523638699289103,0.20070070871677803,0.13752857880206137,-0.0007824939404890152,0.9199209719288904,0.7641148648648649
5,47,0.9490311879899374,0.22197949851727894,0.1429312087394001,-4.2642661322034314e-06,0.98324452397098,0.8089493243243243
6,48,0.9603749798062254,0.18392340550254385,0.13745717377405584,-0.001978826416287882,0.9248717697824604,0.7868783783783784
7,49,0.9518993579997499,0.20236260698168293,0.14150579439502428,-0.0010765144758542178,0.9231844179764921,0.7538817567567567
8,50,0.9424574544828866,0.2288715735203921,0.14409625524818223,-0.0011882117661163871,0.9546741962292402,0.7829290540540541
9,51,0.9490436106860163,0.19747629401823405,0.13378909694928062,-0.0005923004817793842,0.8750728772739677,0.7214054054054054
10,52,0.9479759088219206,0.20547852909298264,0.14509025636540823,-0.007230740490936194,0.904125426676057,0.7513277027027027
11,53,0.9645385994976813,0.16503879279841038,0.13045784727052476,-0.02066815014468726,0.885422141265534,0.7622736486486485
12,54,0.9561094534829355,0.18007355074243186,0.1340740495053174,-0.0001364537012726874,0.8595953597085273,0.7347432432432431
13,55,0.9534295778740505,0.20371829324225424,0.14951636522276024,-0.01830771331093839,0.9526085133619843,0.7879864864864865
14,56,0.9469046777281744,0.211378386168051,0.15645098610011252,-0.007388450819435288,0.9207271105828058,0.7746959459459459
15,57,0.9522618209079744,0.2145988869027096,0.13866911942617005,-0.003932748024998878,0.9841172646288351,0.8087432432432433
16,58,0.9544370557453965,0.2074415121644082,0.14507647980596358,-0.0012174324324125685,0.9724202201000653,0.7964560810810811
17,59,0.9590955386237067,0.17961578396267255,0.13545678850540388,-0.011410991946292803,0.8931471024538017,0.7495371621621622
18,60,0.9613800132771518,0.1918326415158634,0.13561200668963294,-0.015417569867200775,0.9836458949345651,0.8285574324324324
19,61,0.9405271375796135,0.22766250078393507,0.1495100495193225,-0.0027440344537941197,0.934818126190359,0.7525506756756757
20,62,0.9620020808939129,0.18445297578854633,0.13932527918373128,-0.0033139857638908587,0.9478163416862824,0.7870472972972973
21,63,0.9570726814361694,0.1870724020494671,0.14240157725514563,-0.001401409572640011,0.903539079532946,0.7551385135135136
22,64,0.9555941649817785,0.19854153799657281,0.13194117614496273,-4.641528881244028e-07,0.942174752109986,0.7696013513513513
23,65,0.957952608186117,0.18904809335539813,0.1353357180781225,-0.005072532253983075,0.9242755673089733,0.7733378378378378
24,66,0.9502178917940716,0.19522234606892302,0.1382658393554959,-0.0054603930811800705,0.8773550276795561,0.7261486486486486
