target,model,RMSE,RMSE_std,MAE,R2,R2_std
math_avg_grade,Ridge,5.367495632072379,0.21601837482134364,4.1477824623981405,0.41012931533882846,0.04779640726312168
math_avg_grade,SGD (linear SVM),5.38389252519256,0.208205583437429,4.162482602042521,0.4066131635395497,0.046070145354304565
math_avg_grade,HistGradientBoosting,5.474460516292355,0.2560913168246133,4.1734175870052175,0.38648337769990637,0.05324944820143232
math_avg_grade,RandomForest,5.500980235150189,0.2160847775370421,4.1959432780535835,0.38047741825416764,0.04835896587451372
english_avg_grade,Ridge,4.65690761792371,0.21060564571454563,3.5642398752029436,0.4100853875712976,0.03489526117518903
english_avg_grade,SGD (linear SVM),4.664479264315499,0.20448099889039612,3.575205730998765,0.4082154189631065,0.03281618907823102
english_avg_grade,RandomForest,4.677543525970057,0.33064021053777776,3.5303985787493053,0.40402847885295257,0.06600238009973668
english_avg_grade,HistGradientBoosting,4.742048909048351,0.3381646247616987,3.579961333250189,0.38705754764306366,0.0716943393304238
math_5unit_participation,RandomForest,0.07968059641508521,0.006804660162887826,0.05628523950223855,0.4089589041688373,0.06313958204198034
math_5unit_participation,HistGradientBoosting,0.08067508450719652,0.0059257182257591865,0.0564338997125338,0.39225983610015536,0.07121014536142176
math_5unit_participation,Ridge,0.08446083506446724,0.008103475196739873,0.062137305264012156,0.3387884312568633,0.0520172925115594
math_5unit_participation,SGD (linear SVM),0.08458009322838451,0.00795247246589646,0.06211065708352269,0.3367221438685376,0.05150253220826997
english_5unit_participation,RandomForest,0.18326240002753427,0.011823033254944647,0.1319283410166401,0.5166555920603761,0.07190429091590994
english_5unit_participation,HistGradientBoosting,0.18443359231896567,0.015436324085768068,0.133561254498005,0.5079673095988431,0.09548589834098185
english_5unit_participation,SGD (linear SVM),0.18735491706694546,0.012910985299991285,0.13994854529424244,0.4957107554270495,0.06964186692214153
english_5unit_participation,Ridge,0.18763969810428524,0.013623550901201124,0.14014305268652288,0.4938572933235738,0.07406987647448227
