feature,VIF
teaching_budget_per_student,76.57258275167864
private_hours_per_student,58.26476483390316
total_budget_per_student,33.16325250253453
tuition_per_student,31.750043623227956
index_value,20.7053026277993
cluster,20.024806291730293
perimeter_per_student,5.118981381373669
log_school_size,2.444449472524528
avg_class_size,2.400166524471578
special_ed_share,1.8809924678635461
purchases_per_student,1.8249643887792686
nurture_quintile,1.7329528540216823
log_population,1.2268932232183505
projects_per_student,1.2145711399371641
transport_per_student,1.1282130815986404
